route_id,service_id,trip_id,direction_name
1,81554-1111100-0,17403779,East
1,81554-1111100-0,17403796,West
1,81554-1111100-0,17403787,West
2,81331-1111100-0,17285759,North
2,81331-1111100-0,17285758,South
3,81554-1111100-0,17404587,North
3,81554-1111100-0,17404586,South
4,81331-1111100-0,17286722,East
4,81331-1111100-0,17286721,West
4,81331-1111100-0,17287359,West
4,81331-1111100-0,17286704,West
5,81554-1111100-0,17403255,East
5,81554-1111100-0,17403254,West
6,81331-1111100-0,17286193,East
6,81331-1111100-0,17286192,West
6,81331-1111100-0,17286194,West
7,81331-1111100-0,17286014,North
7,81331-1111100-0,17286072,North
7,81331-1111100-0,17287355,North
7,81331-1111100-0,17286011,South
7,81331-1111100-0,17286021,South
8,81331-1111100-0,17287092,North
8,81331-1111100-0,17287070,North
8,81331-1111100-0,17287076,South
8,81331-1111100-0,17287058,South
9,81331-1111100-0,17286556,North
9,81333-0000001-0,17291824,North
9,81331-1111100-0,17286597,North
9,81331-1111100-0,17286555,South
9,81333-0000001-0,17291827,South
9,81332-0000010-0,17289863,South
10,81331-1111100-0,17287795,East
10,81332-0000010-0,17290207,East
10,81331-1111100-0,17287793,West
10,81332-0000010-0,17290208,West
11,81331-1111100-0,17286339,North
11,81331-1111100-0,17286403,North
11,81331-1111100-0,17286308,South
11,81331-1111100-0,17286340,South
11,81331-1111100-0,17286338,South
12,S2_82023-1111100-0,17545888,East
12,81331-1111100-0,17287401,East
12,81331-1111100-0,17284989,West
12,81333-0000001-0,17290948,West
12,81331-1111100-0,17285091,West
13,81331-1111100-0,17285843,North
13,81333-0000001-0,17291193,North
13,81331-1111100-0,17285949,South
13,81332-0000010-0,17289122,South
13,81331-1111100-0,17285849,South
14,81548-1111100-0,17402118,East
14,81548-1111100-0,17402121,West
18,81548-1111100-0,17401944,Clockwise
25,81548-1111100-0,17402236,North
25,81548-1111100-0,17402224,North
25,81548-1111100-0,17402221,South
25,81548-1111100-0,17402235,South
28,81554-1111100-0,17403777,East
28,81554-1111100-0,17403774,West
30,81331-1111100-0,17287441,North
30,81331-1111100-0,17287440,South
30,81331-1111100-0,17287455,South
30,81331-1111100-0,17287479,South
31,81331-1111100-0,17285441,East
31,81331-1111100-0,17285462,West
35,81554-1111100-0,17403771,East
35,81554-1111100-0,17403769,West
43,81331-1111100-0,17287055,East
43,81331-1111100-0,17287056,West
44,81331-1111100-0,17285310,North
44,81331-1111100-0,17285309,South
44,81331-1111100-0,17285345,South
44,8133115-1111100-15,17286647,South
60,81331-1111100-0,17284973,North
60,81331-1111100-0,17284982,South
83,81548-1111100-0,17402075,North
83,81548-1111100-0,17402074,South
83,81548-1111100-0,17402076,South
84,81548-1111100-0,17401977,North
84,81548-1111100-0,17401979,North
84,81548-1111100-0,17401965,South
84,81548-1111100-0,17401967,South
84,81548-1111100-0,17401968,South
88,81546-0000010-0,17401623,East
88,81546-0000010-0,17401653,West
105,81331-1111100-0,17285440,North
105,81332-0000010-0,17289352,North
105,81331-1111100-0,17285434,South
105,81331-1111100-0,17285445,South
105,81332-0000010-0,17289353,South
110,81331-1111100-0,17285246,North
110,81331-1111100-0,17285242,South
115,81545-1111100-0,17400957,East
115,81545-1111100-0,17400945,East
115,81556-0000001-0,17408737,East
115,81545-1111100-0,17400944,West
115,81545-1111100-0,17400972,West
115,81555-0000010-0,17406858,West
201,81331-1111100-0,17285559,Counterclockwise
201,8133121-1111100-21,17287595,Counterclockwise
202,81331-1111100-0,17285661,Clockwise
202,8133121-1111100-21,17287633,Clockwise
204,81331-1111100-0,17285528,Clockwise
215,81331-1111100-0,17286419,East
215,81331-1111100-0,17286405,West
215,81331-1111100-0,17286440,West
225,81554-1111100-0,17404627,North
225,81554-1111100-0,17404628,South
227,81554-1111100-0,17405586,East
227,S2_81719-1111100-0,17513354,East
227,81554-1111100-0,17405583,West
227,81554-1111100-0,17405585,West
235,81331-1111100-0,17287223,North
235,81331-1111100-0,17287247,South
235,81331-1111100-0,17287228,South
235,81331-1111100-0,17287269,South
280,81547-1111100-0,17401921,North
280,81547-1111100-0,17401939,South
290,81547-1111100-0,17401879,North
290,81547-1111100-0,17401875,South
701,81554-1111100-0,17403385,North
701,81554-1111100-0,17403380,South
704,81554-1111100-0,17403252,North
704,81554-1111100-0,17403222,North
704,81556-0000001-0,17408496,North
704,81554-1111100-0,17403161,South
704,81554-1111100-0,17403253,South
704,81554-1111100-0,17403075,South
705,81554-1111100-0,17403934,East
705,81554-1111100-0,17404036,West
705,81554-1111100-0,17404056,West
707,81554-1111100-0,17403964,North
707,81554-1111100-0,17404054,South
709,81554-1111100-0,17403102,East
709,8155419-1111100-19,17409654,East
709,81554-1111100-0,17403162,West
709,8155419-1111100-19,17409666,West
712,81554-1111100-0,17404183,East
712,81554-1111100-0,17404094,West
712,81554-1111100-0,17404151,West
815,81546-0000010-0,17401442,East
815,81545-1111100-0,17400506,West
816,81545-1111100-0,17400746,East
816,81545-1111100-0,17400707,West
832,81545-1111100-0,17400452,Clockwise
833,81548-1111100-0,17402127,North
833,81548-1111100-0,17402128,North
833,81548-1111100-0,17402126,South
833,81548-1111100-0,17402131,South
834,81545-1111100-0,17400449,Clockwise
838,81548-1111100-0,17402286,East
838,81548-1111100-0,17402287,West
848,81545-1111100-0,17400690,North
848,81556-0000001-0,17408077,North
848,81545-1111100-0,17400669,South
848,81556-0000001-0,17408076,South
851,81545-1111100-0,17401318,North
851,81545-1111100-0,17401345,South
852,81545-1111100-0,17400621,East
852,81545-1111100-0,17400645,West
854,81545-1111100-0,17400479,North
854,8154527-1111100-27,17401406,North
854,81545-1111100-0,17400478,South
854,8154527-1111100-27,17401396,South
855,81545-1111100-0,17401253,North
855,81545-1111100-0,17401293,South
856,81545-1111100-0,17401073,North
856,81546-0000010-0,17401743,North
856,81545-1111100-0,17401075,North
856,81545-1111100-0,17401092,South
856,81546-0000010-0,17401744,South
864,81545-1111100-0,17400386,East
864,81545-1111100-0,17400405,West
864,81545-1111100-0,17400387,West
872,81545-1111100-0,17400306,Counterclockwise
874,81545-1111100-0,17400785,Clockwise
874,81545-1111100-0,17400807,Clockwise
874,81546-0000010-0,17401591,Clockwise
874,81546-0000010-0,17401592,Clockwise
875,81545-1111100-0,17401218,Counterclockwise
875,81546-0000010-0,17401607,Counterclockwise
875,81546-0000010-0,17401608,Counterclockwise
875,81556-0000001-0,17408130,Counterclockwise
888,815517-1111100-7,17402590,East
888,815517-1111100-7,17402589,West
891,815519-1111100-9,17402588,East
891,815519-1111100-9,17402587,West
891,S2_817109-1111100-9,17503933,West
892,8155111-1111100-11,17402586,East
892,8155111-1111100-11,17402585,West
892,S2_8171011-1111100-11,17503931,West
894,S2_81710-1111100-0,17503950,East
894,81551-1111100-0,17402604,East
894,81551-1111100-0,17402606,East
894,S2_81710-1111100-0,17503952,East
894,S2_8171061-1111100-61,17503957,East
894,81551-1111100-0,17402603,West
894,S2_81710-1111100-0,17503949,West
894,S2_81710-1111100-0,17503953,West
894,81551-1111100-0,17402607,West
894,S2_81710-1111100-0,17503955,West
901,81554-1111100-0,17404716,North
901,81554-1111100-0,17404731,South
901,81556-0000001-0,17408935,South
904,81554-1111100-0,17404458,North
904,81554-1111100-0,17404461,South
905,81554-1111100-0,17404305,East
905,81554-1111100-0,17404304,West
905,81554-1111100-0,17404303,West
906,81554-1111100-0,17404931,Clockwise
906,81554-1111100-0,17404944,Clockwise
907,81554-1111100-0,17404930,Counterclockwise
907,81555-0000010-0,17405914,Counterclockwise
907,81554-1111100-0,17404940,Counterclockwise
909,81554-1111100-0,17404444,East
909,81554-1111100-0,17404441,West
916,81554-1111100-0,17402700,Clockwise
916,81554-1111100-0,17402701,Clockwise
916,81554-1111100-0,17402685,Clockwise
917,81554-1111100-0,17402683,Counterclockwise
917,81555-0000010-0,17406811,Counterclockwise
923,81554-1111100-0,17402798,East
923,81554-1111100-0,17402812,West
928,81545-1111100-0,17400822,North
928,81545-1111100-0,17400821,South
928,81545-1111100-0,17400874,South
929,81554-1111100-0,17404809,North
929,81554-1111100-0,17404801,South
932,81554-1111100-0,17403986,North
932,81554-1111100-0,17403886,South
932,81555-0000010-0,17406240,South
933,81554-1111100-0,17405087,Counterclockwise
934,81554-1111100-0,17405111,Clockwise
934,81556-0000001-0,17409228,Clockwise
936,81545-1111100-0,17401091,North
936,81545-1111100-0,17401149,South
944,81548-1111100-0,17402345,East
944,81548-1111100-0,17402289,West
946,81548-1111100-0,17402195,1
946,81548-1111100-0,17402193,2
945,81548-1111100-0,17402018,North
945,81548-1111100-0,17402020,South
955,81554-1111100-0,17404188,North
955,81556-0000001-0,17408790,North
955,81554-1111100-0,17404198,South
955,81554-1111100-0,17404231,South
955,81556-0000001-0,17408789,South
961,81554-1111100-0,17403002,North
961,81554-1111100-0,17402866,North
961,81554-1111100-0,17403001,South
961,81554-1111100-0,17402969,South
962,81554-1111100-0,17403884,East
962,81554-1111100-0,17403885,West
963,81554-1111100-0,17403042,East
963,81554-1111100-0,17402938,East
963,81554-1111100-0,17403044,West
964,81548-1111100-0,17402403,East
964,81548-1111100-0,17402380,West
964,81548-1111100-0,17402355,West
965,81548-1111100-0,17401991,Counterclockwise
967,81554-1111100-0,17403524,Counterclockwise
967,81554-1111100-0,17403522,Counterclockwise
968,81554-1111100-0,17402923,East
968,81554-1111100-0,17402922,West
968,81554-1111100-0,17403003,West
972,81552-1111100-0,17402622,Clockwise
972,81552-1111100-0,17402627,Clockwise
973,81552-1111100-0,17402628,Counterclockwise
973,81552-1111100-0,17402631,Counterclockwise
978,81552-1111100-0,17402635,Counterclockwise
978,81552-1111100-0,17402641,Counterclockwise
979,81552-1111100-0,17402653,Clockwise
979,81552-1111100-0,17402646,Clockwise
985,81548-1111100-0,17402189,Counterclockwise
985,S2_81692-1111100-0,17487460,Counterclockwise
985,81548-1111100-0,17402163,Counterclockwise
985,S2_81692-1111100-0,17487434,Counterclockwise
992,81554-1111100-0,17402732,Counterclockwise
992,81554-1111100-0,17402733,Counterclockwise
510,81310-1111100-0,17264478,North
510,81310-1111100-0,17264480,North
510,81310-1111100-0,17264337,North
510,81310-1111100-0,17264410,North
510,81311-0000010-0,17265018,North
510,81310-1111100-0,17264545,South
510,81310-1111100-0,17264481,South
510,81310-1111100-0,17264552,South
510,81310-1111100-0,17264544,South
510,8131059-1111100-59,17264741,South
530,81310-1111100-0,17264175,East
530,81310-1111100-0,17264180,East
530,81310-1111100-0,17264302,West
530,81310-1111100-0,17264305,West
530,81310-1111100-0,17264239,West
530,81312-0000001-0,17265621,West
520,81310-1111100-0,17264174,East
520,81310-1111100-0,17264645,East
520,81310-1111100-0,17264033,West
520,81310-1111100-0,17264173,West
520,81311-0000010-0,17265017,West
550,81311-0000010-0,17265269,Clockwise
COR,gen:827110,15331417,East
COR,gen:847544,15331361,East
COR,gen:827110,15331423,West
COR,gen:847544,15331389,West
AIR,76360-1111111-0,16282358,Counterclockwise
